mode,date,tap,loc,count
bus,20160809,on,2229,1252
bus,20160809,on,2334,137
bus,20160809,on,2335,440
bus,20160809,on,2213,1016
bus,20160809,on,2212,1305
bus,20160809,on,2211,2446
bus,20160809,on,2210,2158
bus,20160809,on,2217,3190
bus,20160809,on,2216,4681
bus,20160809,on,2214,905
bus,20160809,on,2158,858
bus,20160809,on,2219,841
bus,20160809,on,2218,359
bus,20160809,on,2265,298
bus,20160809,on,2220,8400
bus,20160809,on,2150,26718
bus,20160809,on,2024,3603
bus,20160809,on,2025,909
bus,20160809,on,2026,12395
bus,20160809,on,2027,1754
bus,20160809,on,2020,4820
bus,20160809,on,2021,7381
bus,20160809,on,2022,21381
bus,20160809,on,2023,1262
bus,20160809,on,2103,2165
bus,20160809,on,2102,747
bus,20160809,on,2101,2209
bus,20160809,on,2100,7931
bus,20160809,on,2028,1078
bus,20160809,on,2029,2026
bus,20160809,on,2105,81
bus,20160809,on,2104,54
bus,20160809,on,2232,2030
bus,20160809,on,2750,4770
bus,20160809,on,2151,3378
bus,20160809,on,2234,2712
bus,20160809,on,2519,873
bus,20160809,on,2570,1216
bus,20160809,on,2528,1158
bus,20160809,on,2758,97
bus,20160809,on,2136,829
bus,20160809,on,2137,2044
bus,20160809,on,2134,6981
bus,20160809,on,2135,7007
bus,20160809,on,2132,741
bus,20160809,on,2133,1344
bus,20160809,on,2130,250
bus,20160809,on,2131,2795
bus,20160809,on,2226,527
bus,20160809,on,2227,344
bus,20160809,on,2224,753
bus,20160809,on,2225,216
bus,20160809,on,2222,979
bus,20160809,on,2223,523
bus,20160809,on,2138,1874
bus,20160809,on,2221,1575
bus,20160809,on,2037,8071
bus,20160809,on,2036,4541
bus,20160809,on,2035,13939
bus,20160809,on,2034,7089
bus,20160809,on,2033,16733
bus,20160809,on,2032,8679
bus,20160809,on,2031,21232
bus,20160809,on,2030,2258
bus,20160809,on,2749,487
bus,20160809,on,2506,462
bus,20160809,on,2505,360
bus,20160809,on,2251,1214
bus,20160809,on,2039,5045
bus,20160809,on,2038,4125
bus,20160809,on,2756,764
bus,20160809,on,2759,849
bus,20160809,on,2206,1611
bus,20160809,on,2518,1751
bus,20160809,on,2558,358
bus,20160809,on,2250,7660
bus,20160809,on,2530,1837
bus,20160809,on,2780,1027
bus,20160809,on,2121,3960
bus,20160809,on,2120,2448
bus,20160809,on,2088,10230
bus,20160809,on,2089,8738
bus,20160809,on,2125,3874
bus,20160809,on,2228,1104
bus,20160809,on,2127,2235
bus,20160809,on,2126,2811
bus,20160809,on,2082,237
bus,20160809,on,2083,57
bus,20160809,on,2233,1096
bus,20160809,on,2081,316
bus,20160809,on,2086,2849
bus,20160809,on,2087,2612
bus,20160809,on,2084,731
bus,20160809,on,2085,1578
bus,20160809,on,2000,147900
bus,20160809,on,2007,6341
bus,20160809,on,2533,164
bus,20160809,on,2008,4041
bus,20160809,on,2009,2965
bus,20160809,on,2763,1758
bus,20160809,on,2754,78
bus,20160809,off,2095,4256
bus,20160809,off,2094,571
bus,20160809,off,2097,1964
bus,20160809,off,2096,1420
bus,20160809,off,2090,3311
bus,20160809,off,2093,4731
bus,20160809,off,2092,1145
bus,20160809,off,2099,6982
bus,20160809,off,2323,1614
bus,20160809,off,2322,555
bus,20160809,off,2321,656
bus,20160809,off,2320,1782
bus,20160809,off,2327,239
bus,20160809,off,2326,87
bus,20160809,off,2325,978
bus,20160809,off,2324,1008
bus,20160809,off,2230,996
bus,20160809,off,2529,1927
